"id","title","txt_url","authors"
"27364","A Filha do Arcediago: Terceira Edição","https://www.gutenberg.org/ebooks/27364.txt.utf-8","Castelo Branco, Camilo"
"29120","A Morgadinha dos Cannaviaes: (Chronica da aldeia)","https://www.gutenberg.org/ebooks/29120.txt.utf-8","Dinis, Júlio"
"26371","Nova Sapho: Tragedia Extranha","https://www.gutenberg.org/ebooks/26371.txt.utf-8","Villa-Moura, Bento de Oliveira Cardoso, Visconde de"
"67594","A Intrusa","https://www.gutenberg.org/ebooks/67594.txt.utf-8","Almeida, Júlia Lopes de"
"67935","Reliquias de Casa Velha","https://www.gutenberg.org/ebooks/67935.txt.utf-8","Machado de Assis"
"32296","Pero da Covilhan: Episodio Romantico do Seculo XV","https://www.gutenberg.org/ebooks/32296.txt.utf-8","Brandão, Zephyrino"
"63195","A menina Lisa","https://www.gutenberg.org/ebooks/63195.txt.utf-8","Kock, Paul de"
"55752","Dom Casmurro","https://www.gutenberg.org/ebooks/55752.txt.utf-8","Machado de Assis"
"31347","Contos","https://www.gutenberg.org/ebooks/31347.txt.utf-8","Queirós, Eça de"
"40409","Os Maias: episodios da vida romantica","https://www.gutenberg.org/ebooks/40409.txt.utf-8","Queirós, Eça de"
"31971","O crime do padre Amaro, scenas da vida devota","https://www.gutenberg.org/ebooks/31971.txt.utf-8","Queirós, Eça de"
"70819","Contos","https://www.gutenberg.org/ebooks/70819.txt.utf-8","Almeida, Fialho de"
"54829","Memorias Posthumas de Braz Cubas","https://www.gutenberg.org/ebooks/54829.txt.utf-8","Machado de Assis"
"67724","O Guarany: romance brazileiro, Vol. 1 (of 2)","https://www.gutenberg.org/ebooks/67724.txt.utf-8","Alencar, José Martiniano de"
"63080","A cidade do vicio","https://www.gutenberg.org/ebooks/63080.txt.utf-8","Almeida, Fialho de"
"18220","A Cidade e as Serras","https://www.gutenberg.org/ebooks/18220.txt.utf-8","Queirós, Eça de"
"24919","Amor Crioulo: vida argentina","https://www.gutenberg.org/ebooks/24919.txt.utf-8","Botelho, Abel Acácio de Almeida"
"67740","Iracema: com uma noticia biographica do auctor","https://www.gutenberg.org/ebooks/67740.txt.utf-8","Alencar, José Martiniano de"
"26103","Annos de Prosa; A Gratido; O Arrependimento","https://www.gutenberg.org/ebooks/26103.txt.utf-8","Castelo Branco, Camilo"
"69187","O Cortiço","https://www.gutenberg.org/ebooks/69187.txt.utf-8","Azevedo, Aluísio"
"28691","Contos do Norte","https://www.gutenberg.org/ebooks/28691.txt.utf-8","Carvalho, João Marques de"
"23145","A Illustre Casa de Ramires","https://www.gutenberg.org/ebooks/23145.txt.utf-8","Queirós, Eça de"
"27541","Agulha em Palheiro: Quinta edição","https://www.gutenberg.org/ebooks/27541.txt.utf-8","Castelo Branco, Camilo"
"24190","No Paiz dos Yankees","https://www.gutenberg.org/ebooks/24190.txt.utf-8","Caminha, Adolfo Ferreira"
"69229","A fallencia","https://www.gutenberg.org/ebooks/69229.txt.utf-8","Almeida, Júlia Lopes de"
"30359","Contos e Lendas","https://www.gutenberg.org/ebooks/30359.txt.utf-8","Silva, Luiz Augusto Rebello da"
"68932","O esqueleto: Romance","https://www.gutenberg.org/ebooks/68932.txt.utf-8","Castelo Branco, Camilo"
"62101","Robur, o Conquistador","https://www.gutenberg.org/ebooks/62101.txt.utf-8","Verne, Jules"
"31657","Um club da Má-Lingua","https://www.gutenberg.org/ebooks/31657.txt.utf-8","Dostoyevsky, Fyodor"
